Longitude,Latitude,Elevation,ppt,tmean,d2h,timestamp
-77.8449194,34.27935,11,0.03,14.8,-64.63728158,24
-123.26083,44.5647222,77,9.69,15.5,-39.4,24
-124.053,44.637,23,48.85,13.7,-27.7,24
-81.433561,37.940564,577,15.76,4.7,-132.7786241,24
-77.03426667,39.01322778,95,26.18,11.9,-107.0914718,24
-76.624285,39.337301,74,21.52,12.2,-81.62282448,24
-68.8349,44.734433,36,0.42,9.6,-28.85589885,24
-76.431275,38.33573611,8,74.88,12.7,-107.8416695,24
-78.985951,39.666469,774,10.93,6.5,-128.6445153,24
-81.031427,41.835243,181,24.71,6.8,-78.37419519,24
-72.3165,41.891,191,1.64,11.3,-22.21984773,24
-77.4708,38.3018,36,12.74,13.1,-102.892371,24
-76.7099,38.374,30,40.29,12.2,-104.737427,24
-77.5341,38.4178,97,12.78,12.7,-74.97534521,24
-78.853,38.45,424,5.17,9.4,-113.2678345,24
-77.40293333,38.7142833,66,15.37,12.4,-80.57556906,24
-75.246842,38.772392,5,90.25,13.7,-68.78642768,24
-77.0524,38.8518,20,26.69,13.3,-77.25163966,24
-76.9841,38.9329,33,43.77,12.7,-116.8626586,24
-77.11794722,38.93362745,72,23.64,12.2,-115.7992552,24
-77.0542,39.047101,113,27.47,11.8,-74.92876878,24
-79.958045,39.621505,304,8.86,6.7,-119.5142824,24
-79.956254,39.635773,310,9.12,6.7,-120.3926115,24
-78.922546,39.654468,618,10.34,7.5,-131.7198881,24
-78.714959,39.707359,293,9.92,9.7,-113.3550868,24
-75.217338,39.950691,25,15.19,13.5,-45.16179462,24
-82.87657222,40.05619444,263,20.68,5.6,-110.9994375,24
-74.7258,40.2695,26,4.39,13.1,-36.95338121,24
-75.3867,40.2794,88,8.15,12.1,-46.92412205,24
-76.7214,40.3113,141,5.98,11.9,-63.93627017,24
-77.1685,40.4512,196,9.92,10.7,-60.2814932,24
-75.54,40.5111,194,6.5,12.2,-49.39431966,24
-77.907588,40.791143,399,7.23,7.8,-84.32810666,24
-77.8833,40.815,363,7.12,7.9,-68.28593709,24
-81.3537,41.1558,326,31.03,5.3,-99.6751824,24
-70.8683,41.523305,0,2.19,13.8,-34.10616556,24
-71.39194,41.824149,16,4.83,12.7,-29.64276995,24
-72.334,42.162155,138,1.46,11.3,-38.12817075,24
-71.5459,42.2718,104,7.26,11.2,-33.24803196,24
-71.8381,42.3008,222,5.63,10.1,-23.25245637,24
-75.1054,39.7646,26,28.61,12.6,-46.06457268,24
-74.6558,40.355522,45,4.43,12.7,-44.45455798,24
-74.4304,40.503,22,2.76,13.4,-51.9805396,24
-70.63606,41.592674,11,2.78,13.4,-43.2967049,24
-76.3911111,43.3255556,124,1.44,7.9,-49.00551536,24
-78.9251,36.0412,120,6.17,12,-120.8732679,24
-77.8795,39.2647,160,18.45,11.1,-103.723734,24
-78.5437,39.2821,324,11.88,10.2,-112.0779082,24
-78.790719,39.649086,277,8.81,9.8,-118.5700339,24
-77.879957,40.795605,359,7.34,8.1,-85.05547502,24
-71.085105,42.369275,6,5.07,12.1,-33.00527367,24
-77.00522,38.91,34,45.69,12.8,-115.5973135,24
