,cal_y,cal_x1,cal_x2,cal_coordsX,cal_coordsY,time_stamp,adj_time
0,207.6650916,108.9908199,49.47720593,0,5,1.56903E+13,774929.3
1,220.0066354,90.30526451,59.3855943,0,9,1.56903E+13,774929.3
2,285.9347355,101.5390301,54.33395582,0,15,1.56903E+13,774929.3
3,190.7325108,97.50528123,66.78295542,1,1,1.56903E+13,774929.3
4,277.466105,101.7481446,54.63152111,1,9,1.56903E+13,774929.3
5,299.341898,99.80418423,48.79516417,1,13,1.56903E+13,774929.3
6,213.5352058,95.85430031,39.79361129,2,4,1.56903E+13,774929.3
7,241.8126201,100.7667024,44.27180497,2,5,1.56903E+13,774929.3
8,302.9548415,107.8470456,49.26139278,2,8,1.56903E+13,774929.3
9,330.5747115,98.79855539,44.15071794,2,14,1.56903E+13,774929.3
10,366.7422604,98.45504976,48.97631709,3,13,1.56903E+13,774929.3
11,358.0264175,86.40258303,54.76087242,3,21,1.56903E+13,774929.3
12,321.5880531,88.22506066,40.42880324,4,10,1.56903E+13,774929.3
13,391.5868297,99.28910889,44.26875045,4,22,1.56903E+13,774929.3
14,368.4591234,91.38016245,52.20180117,5,8,1.56903E+13,774929.3
15,386.7797223,81.09403619,48.68793551,5,17,1.56903E+13,774929.3
16,412.4583743,90.8879601,48.35011565,5,18,1.56903E+13,774929.3
17,412.8898368,95.29910545,55.61412749,6,8,1.56903E+13,774929.3
18,493.8074919,107.0281003,54.08030607,6,19,1.56903E+13,774929.3
19,292.8683985,107.9894604,50.78261059,7,2,1.56903E+13,774929.3
20,436.197634,105.3371738,49.8052436,7,8,1.56903E+13,774929.3
21,458.0427187,89.40337718,56.63990125,7,10,1.56903E+13,774929.3
22,455.7362465,99.49074634,47.62004859,7,11,1.56903E+13,774929.3
23,493.8916973,112.2738088,45.05904213,7,13,1.56903E+13,774929.3
24,452.5170271,91.43773083,53.60979221,7,20,1.56903E+13,774929.3
25,227.6884883,103.3074695,52.77907872,8,0,1.56903E+13,774929.3
26,454.0075012,101.5626481,56.55526606,8,7,1.56903E+13,774929.3
27,445.0728268,93.12507788,54.05956302,8,8,1.56903E+13,774929.3
28,515.5242108,113.9526266,50.93198362,8,10,1.56903E+13,774929.3
29,531.7895762,113.8122777,45.06463741,8,16,1.56903E+13,774929.3
30,439.2233693,93.52426636,45.63261435,8,21,1.56903E+13,774929.3
31,349.5407298,121.2007049,53.1437669,9,2,1.56903E+13,774929.3
32,403.6146472,100.0371725,53.00922741,9,5,1.56903E+13,774929.3
33,461.3880592,100.5217796,55.76388509,9,23,1.56903E+13,774929.3
34,459.1939749,92.82704016,54.95012963,10,7,1.56903E+13,774929.3
35,578.1593352,116.8523816,47.53090362,10,18,1.56903E+13,774929.3
36,506.5807068,100.7043438,52.76661965,10,21,1.56903E+13,774929.3
37,466.6924755,103.1033924,47.16331397,10,23,1.56903E+13,774929.3
38,415.949399,95.58017766,36.46883912,11,8,1.56903E+13,774929.3
39,526.9716067,107.5807793,50.14292072,11,9,1.56903E+13,774929.3
40,521.1280026,93.37548219,53.90889669,11,10,1.56903E+13,774929.3
41,571.1919768,101.4601169,54.69646139,11,12,1.56903E+13,774929.3
42,522.9657348,99.30905789,44.3561376,12,12,1.56903E+13,774929.3
43,376.2666268,92.50908238,39.09611861,13,5,1.56903E+13,774929.3
44,531.1675962,103.560588,46.42946538,13,10,1.56903E+13,774929.3
45,648.7972957,103.194498,63.70012068,13,14,1.56903E+13,774929.3
46,447.3703394,95.14400285,47.89560349,14,24,1.56903E+13,774929.3
47,503.0026935,98.8522874,53.76688246,15,7,1.56903E+13,774929.3
48,553.5520812,97.77198573,51.12344567,15,11,1.56903E+13,774929.3
49,283.8897776,100.1185072,47.5826595,16,0,1.56903E+13,774929.3
50,538.0710267,93.94357555,46.2541229,16,14,1.56903E+13,774929.3
51,300.0659328,102.012985,51.11652912,17,0,1.56903E+13,774929.3
52,516.8500025,110.5028435,48.75362441,17,7,1.56903E+13,774929.3
53,553.8810873,93.10528957,51.56000064,17,14,1.56903E+13,774929.3
54,497.2272663,96.50120718,49.22042139,17,23,1.56903E+13,774929.3
55,527.2773098,110.0418389,48.03403592,18,8,1.56903E+13,774929.3
56,552.4151918,113.1255866,47.5697164,18,9,1.56903E+13,774929.3
57,504.3404611,107.4047594,57.21979729,19,6,1.56903E+13,774929.3
58,563.1042263,96.684459,54.41048713,19,17,1.56903E+13,774929.3
59,458.8978497,92.81876642,44.83278396,20,9,1.56903E+13,774929.3
60,332.7090321,93.81828678,49.85999115,21,1,1.56903E+13,774929.3
61,546.5409353,97.86177877,55.74205394,21,17,1.56903E+13,774929.3
62,386.7897679,113.3519976,44.65991622,22,1,1.56903E+13,774929.3
63,542.6430721,111.6701298,50.50987751,22,12,1.56903E+13,774929.3
64,531.7694913,100.7172207,46.49704256,22,19,1.56903E+13,774929.3
65,481.6414367,96.1869433,62.51881337,23,12,1.56903E+13,774929.3
66,525.0513359,95.35748443,54.7577668,23,23,1.56903E+13,774929.3
0,267.8842391,96.88570075,87.28261594,0,10,1.56903E+13,774949.2
1,245.0167896,84.06870044,80.25282138,0,11,1.56903E+13,774949.2
2,518.7012583,219.2443832,78.62534369,2,6,1.56903E+13,774949.2
3,654.8349904,192.3172132,76.96397536,2,17,1.56903E+13,774949.2
4,606.1519659,251.2926464,70.65856848,3,6,1.56903E+13,774949.2
5,867.6153816,249.2226831,103.5189144,3,13,1.56903E+13,774949.2
6,549.4408618,287.5405139,102.4361655,4,1,1.56903E+13,774949.2
