,cal_y,cal_x1,cal_x2,cal_coordsX,cal_coordsY,time_stamp
0,217.8419242,108.9908199,49.47720593,0,5,93037
1,201.8650229,90.30526451,59.3855943,0,9,93037
2,306.1269615,101.5390301,54.33395582,0,15,93037
3,211.3994225,97.50528123,66.78295542,1,1,93037
4,262.6492504,101.7481446,54.63152111,1,9,93037
5,320.2023892,99.80418423,48.79516417,1,13,93037
6,218.5135453,95.85430031,39.79361129,2,4,93037
7,238.414158,100.7667024,44.27180497,2,5,93037
8,290.4143287,107.8470456,49.26139278,2,8,93037
9,351.8318894,98.79855539,44.15071794,2,14,93037
10,392.6020085,98.45504976,48.97631709,3,13,93037
11,367.8465957,86.40258303,54.76087242,3,21,93037
12,345.3642209,88.22506066,40.42880324,4,10,93037
13,417.0576665,99.28910889,44.26875045,4,22,93037
14,387.8545403,91.38016245,52.20180117,5,8,93037
15,383.5654127,81.09403619,48.68793551,5,17,93037
16,412.88803,90.8879601,48.35011565,5,18,93037
17,440.9631806,95.29910545,55.61412749,6,8,93037
18,515.3903213,107.0281003,54.08030607,6,19,93037
19,279.9904988,107.9894604,50.78261059,7,2,93037
20,465.0824664,105.3371738,49.8052436,7,8,93037
21,475.9837963,89.40337718,56.63990125,7,10,93037
22,463.6507774,99.49074634,47.62004859,7,11,93037
23,483.2351775,112.2738088,45.05904213,7,13,93037
24,479.6189408,91.43773083,53.60979221,7,20,93037
25,215.9076212,103.3074695,52.77907872,8,0,93037
26,481.1453445,101.5626481,56.55526606,8,7,93037
27,468.5054933,93.12507788,54.05956302,8,8,93037
28,520.3571516,113.9526266,50.93198362,8,10,93037
29,536.8861959,113.8122777,45.06463741,8,16,93037
30,453.3200726,93.52426636,45.63261435,8,21,93037
31,339.8943566,121.2007049,53.1437669,9,2,93037
32,424.8859116,100.0371725,53.00922741,9,5,93037
33,446.4167156,100.5217796,55.76388509,9,23,93037
34,469.1605655,92.82704016,54.95012963,10,7,93037
35,600.0387174,116.8523816,47.53090362,10,18,93037
36,495.8924846,100.7043438,52.76661965,10,21,93037
37,444.7330463,103.1033924,47.16331397,10,23,93037
38,404.3257422,95.58017766,36.46883912,11,8,93037
39,503.9250364,107.5807793,50.14292072,11,9,93037
40,499.9321753,93.37548219,53.90889669,11,10,93037
41,556.9261391,101.4601169,54.69646139,11,12,93037
42,517.505874,99.30905789,44.3561376,12,12,93037
43,370.1742836,92.50908238,39.09611861,13,5,93037
44,513.0063679,103.560588,46.42946538,13,10,93037
45,657.8645852,103.194498,63.70012068,13,14,93037
46,454.9645193,95.14400285,47.89560349,14,24,93037
47,475.4646728,98.8522874,53.76688246,15,7,93037
48,560.4438209,97.77198573,51.12344567,15,11,93037
49,291.598424,100.1185072,47.5826595,16,0,93037
50,529.376167,93.94357555,46.2541229,16,14,93037
51,303.4728362,102.012985,51.11652912,17,0,93037
52,508.953523,110.5028435,48.75362441,17,7,93037
53,536.1336451,93.10528957,51.56000064,17,14,93037
54,505.0437399,96.50120718,49.22042139,17,23,93037
55,540.2923341,110.0418389,48.03403592,18,8,93037
56,568.4698928,113.1255866,47.5697164,18,9,93037
57,512.8267743,107.4047594,57.21979729,19,6,93037
58,559.9315276,96.684459,54.41048713,19,17,93037
59,468.8437752,92.81876642,44.83278396,20,9,93037
60,319.634002,93.81828678,49.85999115,21,1,93037
61,567.1562393,97.86177877,55.74205394,21,17,93037
62,380.6372918,113.3519976,44.65991622,22,1,93037
63,530.9913358,111.6701298,50.50987751,22,12,93037
64,546.6766582,100.7172207,46.49704256,22,19,93037
65,483.1193815,96.1869433,62.51881337,23,12,93037
66,516.4940664,95.35748443,54.7577668,23,23,93037
