,true_y,pre_x1,pre_x2,pre_coordsX,pre_coordsY
0,-1054.200089721002,-509.68681158015625,-547.8083025888188,0,0
1,-1251.3677058275728,-481.32644657123257,-540.9912399756797,0,1
2,-1475.9430178909797,-499.7959986691668,-550.0327660556524,0,2
3,-1534.0695908455045,-487.35083014927346,-539.4924879052547,0,3
4,-1547.4045150191484,-496.3206181653106,-545.3480657771738,0,4
5,-1441.8447127420907,-492.11705843974784,-551.580592300802,0,5
6,-1136.8150812884073,-499.4603541939712,-549.8680430172923,0,7
7,-1031.1828751203982,-502.91442880830436,-557.8840575389104,0,9
8,-1106.7186980947074,-498.90298534524425,-541.3606355657311,0,10
9,-1307.2204566910875,-504.23140356008184,-546.2696599021034,0,11
10,-1540.4915456886217,-499.42958471881514,-544.8946114337439,0,12
11,-1802.315755241022,-508.19513975891806,-542.8180405669386,0,13
12,-2002.7692314288508,-509.4178859804608,-548.8883362512896,0,14
13,-2058.2749191996168,-499.1113748897973,-538.3362659633024,0,15
14,-2036.442015733692,-495.9504175211476,-537.8059063892274,0,16
15,-1941.5208207513663,-494.39077610430206,-549.9632665621443,0,17
16,-1771.465356589666,-494.41285813602406,-537.6650251645762,0,18
17,-1628.9094269692346,-497.28841092947,-545.6890698424136,0,19
18,-1502.633660864569,-491.46126483749475,-535.0939798783039,0,20
19,-1513.8106676874986,-497.15677610510005,-546.5411319241522,0,21
20,-1605.6885013736749,-499.356787371604,-538.8044817929375,0,22
21,-1773.9554057001887,-489.05680191501654,-546.471594558798,0,23
22,-2004.7287743869665,-486.9150484629706,-547.7811514998826,0,24
23,-1374.5394255395288,-479.2781932132086,-534.4826665018949,1,0
24,-1775.1429073209836,-484.1021544775852,-545.4457208493947,1,2
25,-1850.549583761753,-502.2903193567556,-547.8685607680883,1,3
26,-1774.308858111701,-502.1902378752505,-539.9567793561158,1,4
27,-1518.5708805216323,-477.4814667924744,-554.2811603051173,1,6
28,-1444.7370059513794,-510.15553657945,-535.9167054164334,1,7
29,-1468.335923536723,-485.1818417907512,-556.5209156022192,1,8
30,-1576.7541776666862,-503.97043318822665,-544.2012083085343,1,9
31,-1758.6726175965432,-493.50488558114506,-543.046044842885,1,10
32,-2007.4293517218564,-497.8023348028868,-539.2972401391138,1,11
33,-2255.5526450379925,-496.5408016493671,-543.5277587560548,1,12
34,-2461.6027005593687,-499.29526376992374,-550.9391484412662,1,13
35,-2539.784951780262,-493.374962806935,-555.624451915628,1,14
36,-2477.5278796710363,-487.13459276660234,-545.1695949372312,1,15
37,-2361.6224146148775,-489.8138202443878,-542.3187976652387,1,16
38,-2188.699172402059,-494.2543552462819,-538.2423165833501,1,17
39,-2031.7207856622822,-505.6592092283936,-538.4335922194927,1,18
40,-1867.93598576771,-487.4358822204055,-544.1037386081476,1,19
41,-1853.200934700618,-494.880211288758,-555.4847253324634,1,20
42,-2216.609423025503,-495.78692809879345,-541.8275749522945,1,23
43,-2393.1241402843366,-493.9554475041094,-541.3688820644344,1,24
44,-1920.2802591081877,-500.16064497131845,-539.8769996742351,2,1
45,-1993.13293278043,-495.3739052143149,-538.1785162359861,2,2
46,-1968.9031692291653,-479.7044638591608,-549.1150787637159,2,3
47,-1919.7073260241864,-484.45715277063437,-556.6694950483716,2,4
48,-1807.1446745402056,-487.6774226141265,-542.3578977043995,2,5
49,-1803.9064469826462,-494.412770865437,-555.6437299040538,2,6
50,-1788.209553666166,-492.62650635396994,-534.0456064221903,2,7
51,-1941.057314624718,-499.38016219264813,-537.7162492037759,2,8
52,-2168.258169057032,-497.3527504238741,-541.7483461397712,2,9
53,-2422.4769362614525,-492.6660326090571,-541.6690704445735,2,10
54,-2687.011142793631,-491.5432161229608,-547.6489553517926,2,11
55,-2902.2671612990403,-506.78246463680034,-540.8799630656705,2,12
56,-2978.6930172697816,-499.56838544350285,-542.9602578628701,2,13
57,-2936.199953173033,-496.64289716512843,-539.9925701391112,2,14
58,-2821.682465092525,-496.37847277622933,-545.3822822154835,2,15
59,-2408.665803949909,-490.29728561125813,-540.607184349487,2,17
60,-2298.3184116744706,-493.40180755411825,-555.8363394590455,2,18
61,-2227.2117394932498,-510.93711205557895,-541.7595663980868,2,19
62,-2248.7945396642785,-506.37924857560637,-543.2603204436782,2,20
63,-2314.7059528489913,-487.6459508735322,-543.8483969595339,2,21
64,-2468.9677981289074,-490.42782956105924,-541.9557829878493,2,22
65,-2616.12825931491,-490.35543660010114,-546.7063412499724,2,23
66,-2721.7805024139698,-501.06462228316525,-537.4347199607978,2,24
67,-2070.240229270225,-495.5220564629336,-555.3269225507073,3,1
68,-2086.315789692499,-489.253544890625,-550.4792608505824,3,2
69,-2052.1823587667454,-501.67737404812084,-558.3792205216514,3,4
70,-2095.6915203961526,-496.69735114402135,-550.073393866988,3,6
71,-2259.5561368899666,-494.7544097427869,-549.1579766378686,3,7
72,-2481.68898441615,-489.72659540160276,-544.0042093691012,3,8
73,-2793.06393925991,-496.1883655644456,-549.0735223499638,3,9
74,-3305.0776461908995,-503.2944610668599,-552.243821654393,3,11
75,-3414.9458489826893,-504.5544344729652,-553.3051277319413,3,12
76,-3338.3870815643463,-491.8963197777594,-547.3314109375871,3,13
77,-3250.9786767541223,-504.6686753517361,-547.3004127123598,3,14
78,-3072.9063358869003,-507.84318889039156,-549.2497051355808,3,15
79,-2822.5813514901865,-496.8458429834857,-543.2415468915524,3,16
80,-2663.2949070673626,-484.3690217170003,-552.5619114381054,3,17
81,-2575.1011117888106,-499.2254699082123,-541.7073765061037,3,18
82,-2593.6181602172996,-492.0181460318121,-550.3857713978318,3,19
83,-2663.699979829543,-496.33469401097085,-540.7990889350602,3,20
84,-2880.796757208814,-515.5525496015691,-553.8527874420813,3,21
85,-2918.1519156089607,-492.6597778842795,-551.6805765110378,3,22
86,-2997.482539842246,-503.42657726518286,-549.182699289816,3,23
87,-2966.7156836773383,-510.1537557154833,-548.3767781203297,3,24
88,-1964.1265950634704,-489.8863829551424,-553.3181910561797,4,0
89,-2070.8374385960856,-499.370926275958,-551.3356699168107,4,1
90,-2081.8439513171265,-494.66936588624355,-550.2651642899524,4,2
91,-2047.15205387249,-498.27949693949535,-534.403030152745,4,3
92,-2135.4601237781253,-493.2172504666962,-553.4418461065269,4,4
93,-2220.1683396457433,-502.9385054865309,-541.2990845843373,4,5
94,-2418.488447494214,-499.2837736477177,-540.5229955360694,4,6
95,-2743.0284913029786,-486.2902499758279,-558.4595347692464,4,7
96,-3048.1736037432474,-508.05872194668206,-545.1975231280826,4,8
97,-3310.8431537908177,-488.84814367069214,-546.3566484231471,4,9
98,-3673.003910229486,-490.4256582470534,-549.5877794780632,4,11
99,-3671.396308010958,-503.0825163485173,-540.2271163853861,4,12
100,-3576.794405983104,-499.4113690772329,-547.5250706982515,4,13
101,-3189.4661401708954,-498.83595210611526,-546.9819665885504,4,15
102,-2971.5780226237475,-489.3049505831625,-537.3638423520208,4,16
103,-2937.8479042536937,-495.1812700180342,-548.9499827240824,4,17
104,-2956.6804706548437,-499.5623433124874,-551.3590799046773,4,18
105,-3013.5753574559217,-496.4833858060101,-547.4777964214572,4,19
106,-3136.547674428598,-498.385167960106,-548.529627434401,4,20
107,-3240.1233225151796,-503.1426225234277,-545.0957858409759,4,21
108,-3242.1876643872097,-515.2890152179716,-546.8959678370204,4,23
109,-2975.2565600826347,-499.3228878462166,-549.42342313761,4,24
110,-1879.0240032632282,-493.13344608048715,-547.9114836484569,5,0
111,-1940.9875448340076,-483.15979048898663,-548.6970786001002,5,1
112,-1982.0325931842524,-486.5175130589402,-540.8349800048196,5,2
113,-2122.3339514613076,-504.9220731965801,-553.2183829907302,5,3
114,-2265.124047499718,-506.9435253863231,-546.8827150226243,5,4
115,-2505.105934706802,-495.8000634574879,-548.9205986939888,5,5
116,-3176.1878865928097,-493.39888295838773,-551.0692393927221,5,7
117,-3449.7357106923973,-487.2190358092363,-541.3563200110278,5,8
118,-3740.137635236735,-497.85530095486143,-543.0990694840269,5,9
119,-3943.658201420703,-507.6577784987766,-549.7391979516304,5,10
120,-3952.9797680597876,-501.4892154783967,-551.8458715715001,5,11
121,-3646.050408712398,-495.76668405577146,-545.0672243262196,5,13
122,-3410.01705298919,-487.3134008644789,-537.927096222093,5,14
123,-3312.3233874568564,-500.32398847271895,-544.5507831540123,5,15
124,-3234.2881804286353,-495.6846014095098,-547.5894272563567,5,16
125,-3224.5016529797776,-497.2999331290142,-542.9909254196795,5,17
126,-3278.74487926617,-504.09651806268664,-532.4018824975066,5,18
127,-3405.389888280217,-498.41310891705314,-540.2324331799394,5,19
128,-3513.1393947549805,-500.9315544362248,-541.7243770997568,5,20
129,-3552.879800332586,-495.1895981638228,-556.5891887537224,5,21
130,-3450.2072366412017,-501.97184357043955,-544.4183580035815,5,22
131,-3194.8467443144496,-492.989086486993,-545.6338865623337,5,23
132,-2875.462730632406,-497.47373144798854,-543.9199726448254,5,24
133,-1673.2442992328333,-494.40131265209317,-530.9481833327185,6,0
134,-1818.8789921017203,-506.3122444640887,-545.8682157241711,6,1
135,-1941.1609712722902,-515.8993348200203,-538.9234620329088,6,2
136,-2145.942558075917,-491.58007183000535,-547.564823705843,6,3
137,-2483.824847137541,-503.7580431155596,-558.3187778894811,6,4
138,-2855.5186962684766,-498.635772591326,-562.3310388942513,6,5
139,-3200.9425608307656,-486.504328511871,-556.5805227965938,6,6
140,-3573.518901671781,-484.1317676346489,-560.233467941393,6,7
141,-3819.4660469830146,-493.9702748852575,-544.4200638811185,6,8
142,-3980.7592301505606,-504.20447898328877,-534.948373684608,6,9
143,-4099.297334376918,-499.69609978189357,-553.9238465621067,6,10
144,-4003.1849504362804,-498.8108120987269,-548.9776861491844,6,11
145,-3878.263736378375,-522.260509747569,-541.0149355791604,6,12
146,-3644.9386746816544,-500.5783266905227,-538.8351813578421,6,13
147,-3528.602760363798,-499.377180602725,-544.5683577393673,6,14
148,-3477.0645698120006,-497.7357267806699,-548.4854343708832,6,15
149,-3434.3354913872045,-501.1659980362743,-533.9283245986766,6,16
150,-3580.834945650821,-489.1008228421094,-554.8016039661611,6,17
151,-3618.0257611471743,-485.81465476399376,-539.3894323925405,6,18
152,-3856.6598173012976,-502.7548586031303,-559.6347691466088,6,20
153,-3644.5044374947324,-490.5634404601103,-540.1468752664106,6,21
154,-3467.2084665325506,-499.9555595657208,-543.9985409856982,6,22
155,-3107.175727245275,-491.1641653568343,-551.4951701288254,6,23
156,-2659.173597894143,-486.0248957148771,-545.6454490099643,6,24
157,-1496.5208855245105,-517.2921512782732,-538.6575805041027,7,0
158,-1699.3169823997214,-504.3938415079882,-557.1726930047595,7,1
159,-1905.9854396378303,-497.66910811672125,-540.851148805331,7,2
160,-2249.1277720099915,-486.0169366210457,-549.174066936089,7,3
161,-2653.6450332038294,-499.3844430979566,-545.480472198094,7,4
162,-3462.1835376649183,-495.3844194813747,-541.9140161241328,7,6
163,-4004.208361359749,-503.221010753686,-539.2501372188084,7,8
164,-3951.559250662072,-487.7883301791419,-554.7677861020436,7,11
165,-3798.5093491048938,-502.9586388377114,-545.826404664474,7,12
166,-3649.049358071338,-498.14367748898377,-541.4404195637507,7,13
167,-3649.7133795722057,-513.0992275568389,-545.4577442045372,7,14
168,-3669.805406190508,-504.35025923820297,-546.4306307740513,7,15
169,-3825.8922760859004,-508.09400164223905,-556.1077651439907,7,16
170,-4067.617807774808,-507.80750290521564,-551.255657219641,7,19
171,-3921.124715571106,-496.34183181671386,-549.1753804559257,7,20
172,-3667.79898670094,-500.044793516438,-535.7013736396252,7,21
173,-3328.52854407222,-496.5660700944,-540.3104717498885,7,22
174,-2910.735289567765,-494.2000293579548,-543.8320448584554,7,23
175,-1266.5303158641123,-488.58199190628426,-539.5484826566418,8,0
176,-1559.9445499206267,-491.2065282854701,-538.0345085487435,8,1
177,-1991.9479821704879,-496.21641945255203,-559.0481579083353,8,2
178,-2388.374018478471,-500.0532882939723,-539.8199924923157,8,3
179,-2822.634458216509,-500.4633584429362,-529.7956359218128,8,4
180,-3332.5136637908195,-494.91270940490546,-552.3178503587379,8,5
181,-3727.9536443682923,-501.6149321684393,-555.3054930627328,8,6
182,-4027.2986086857272,-502.1298633703718,-542.192487693568,8,8
183,-4004.8696795884575,-496.43697251855843,-543.4964934434748,8,9
184,-3987.155022237741,-504.9072817146256,-553.7857360158645,8,10
185,-3743.105662399871,-490.4867442652356,-534.9491407261071,8,11
186,-3731.437208392522,-495.2763595913993,-548.4727247890787,8,12
187,-3634.385937020012,-485.5466464054235,-537.9218639936457,8,13
188,-3792.571165933205,-500.77805316376873,-552.7864319979523,8,14
189,-3895.800956887091,-498.3454111382193,-550.3020571810712,8,15
190,-4007.704403055807,-490.95979980862415,-547.866769385672,8,16
191,-4154.811147842884,-490.4478171471955,-555.3887391367625,8,17
192,-4170.260677327383,-498.0507984338799,-543.8179405654545,8,18
193,-4144.341631540551,-507.8586222363231,-547.5712737317137,8,19
194,-3896.666777656485,-505.47506513979175,-540.8024015876309,8,20
195,-3569.1762285954555,-498.8758805283687,-550.7842219476846,8,21
196,-3169.42438368899,-505.10271374234856,-549.3016265503436,8,22
197,-1604.873909046633,-503.89957904729573,-559.3242173792844,9,1
198,-1991.483515040489,-478.2932613588882,-531.087292904442,9,2
199,-2551.853887458768,-493.2387654306877,-543.43002499049,9,3
200,-3030.058290221413,-475.0693737998581,-556.805015896533,9,4
201,-3440.6049428066076,-504.6053248065078,-537.9475634247814,9,5
202,-3740.8316805753193,-499.57235175237287,-547.0826141723079,9,6
203,-3922.4501553769246,-501.39359131606165,-554.294786725535,9,7
204,-3994.0551838230604,-496.6922525366668,-567.3519309927315,9,8
205,-3822.18145608817,-495.73313397288194,-543.1094704077759,9,9
206,-3729.4081956399273,-497.61142601292835,-541.0241921640619,9,10
207,-3648.244611004254,-498.50667920859036,-536.4977831142514,9,11
208,-3694.7367646253856,-495.86426219711063,-546.4675752474548,9,12
209,-3916.186659076938,-500.3376285300731,-543.694250618583,9,14
210,-4064.188973855245,-491.2692707606539,-544.4134215203185,9,15
211,-4276.286415484967,-510.248615087841,-546.1032898153378,9,16
212,-4357.440274295637,-506.6689380995898,-553.1548455689132,9,17
213,-4298.672309448402,-502.57614242561795,-558.2254954321158,9,18
214,-4009.838918909379,-498.4527381709949,-538.8503717575347,9,19
215,-3715.750200219752,-500.68346997137644,-542.4972194400602,9,20
216,-3314.333413024549,-497.13358156743243,-546.1810163994518,9,21
217,-2951.550124932812,-509.55607052468844,-556.3121595390194,9,22
218,-2448.9788324886777,-484.77939990352684,-546.9674153826293,9,23
219,-2107.9798265328104,-490.87157743108435,-531.5544405590585,9,24
220,-1106.3921731431271,-492.3559584918347,-548.2366618732494,10,0
221,-1636.1158547169493,-502.38321587701813,-541.8866439084865,10,1
222,-2174.3646419429206,-490.6701723091106,-546.8805703221052,10,2
223,-2685.682460198743,-490.3792479406516,-544.4936772569849,10,3
224,-3104.790618130543,-490.2956991105803,-539.8118864802328,10,4
225,-3648.7820922910078,-492.64656159823954,-537.5537802712311,10,7
226,-3723.7268608302984,-505.4217606941342,-552.8442577289403,10,8
227,-3621.4417609205825,-503.32270543259114,-543.679336860983,10,9
228,-3617.529423427445,-497.4809449086368,-551.7309881915362,10,10
229,-3615.814530990505,-513.6157650922459,-538.4470891651297,10,11
230,-3776.875771688285,-508.59501194499717,-550.574262932772,10,12
